Channel,Opcode,Command,Node
REQ,0x00,ReqLCrdReturn,
REQ,0x01,ReadShared,RNF->HNF
REQ,0x02,ReadClean,RNF->HNF
REQ,0x03,ReadOnce,RNF|RND|RNI->HNF
REQ,0x04,ReadNoSnp,RNF|RND|RNI->HNF|HNI
REQ,0x05,PCrdReturn,RNF|RND|RNI->HNF|HNI|MN;HNF->SNF;HNI->SNI
REQ,0x07,ReadUnique,RNF->HNF
REQ,0x08,CleanShared,RNF|RND|RNI->HNF|HNI
REQ,0x09,CleanInvalid,HNI->SNI
REQ,0x0A,MakeInvalid,HNI->SNI
REQ,0x0B,CleanUnique,RNF->HNF
REQ,0x0C,MakeUnique,RNF->HNF
REQ,0x0D,Evict,RNF->HNF
REQ,0x11,ReadNoSnpSep,HNF->SNF;HNI->SNI
REQ,0x13,CleanSharedPersistSep,HNI->SNI
REQ,0x14,DVMOp,RNF->MN
REQ,0x15,WriteEvictFull,RNF->HNF
REQ,0x17,WriteCleanFull,RNF->HNF
REQ,0x18,WriteUniquePtl,RNF|RND|RNI->HNF
REQ,0x19,WriteUniqueFull,RNF|RND|RNI->HNF
REQ,0x1A,WriteBackPtl,RNF->HNF
REQ,0x1B,WriteBackFull,RNF->HNF
REQ,0x1c,WriteNoSnpPtl,HNF->SNF
REQ,0x1D,WriteNoSnpFull,HNI->SNI
REQ,0x20,WriteUniqueFullStash,RNF|RND|RNI->HNF
REQ,0x21,WriteUniquePtlStash,RNF|RND|RNI->HNF
REQ,0x22,StashOnceShared,RNF|RND|RNI->HNF
REQ,0x23,StashOnceUnique,RNF|RND|RNI->HNF
REQ,0x24,ReadOnceCleanInvalid,RNF|RND|RNI->HNF
REQ,0x25,ReadOnceMakelnvalid,RNF|RND|RNI->HNF
REQ,0x26,ReadNotSharedDirty,RNF->HNF
REQ,0x27,CleanSharedPersist,HNF->SNF
REQ,0x28,AtomicStore-ADD,RNF|RND|RNI->HNF|HNI
REQ,0x29,AtomicStore-CLR,RNF|RND|RNI->HNF|HNI
REQ,0x2A,AtomicStore-EOX,RNF|RND|RNI->HNF|HNI
REQ,0x2B,AtomicStore-SET,RNF|RND|RNI->HNF|HNI
REQ,0x2C,AtomicStore-SMAX,RNF|RND|RNI->HNF|HNI
REQ,0x2D,AtomicStore-SMIN,RNF|RND|RNI->HNF|HNI
REQ,0x2E,AtomicStore-UMAX,RNF|RND|RNI->HNF|HNI
REQ,0x2F,AtomicStore-UMIN,RNF|RND|RNI->HNF|HNI
REQ,0x30,AtomicLoad-ADD,HNF->SNF
REQ,0x31,AtomicLoad-CLR,HNF->SNF
REQ,0x32,AtomicLoad-EOX,HNF->SNF
REQ,0x33,AtomicLoad-SET,HNF->SNF
REQ,0x34,AtomicLoad-SMAX,HNF->SNF
REQ,0x35,AtomicLoad-SMIN,HNF->SNF
REQ,0x36,AtomicLoad-UMAX,HNF->SNF
REQ,0x37,AtomicLoad-UMIN,HNF->SNF
REQ,0x38,AtomicSwap,HNI->SNI
REQ,0x39,AtomicCompare,HNI->SNI
REQ,0x3A,PrefetchTgt,RNF|RND|RNI->SNF
REQ,0x41,MakeReadUnique,RNF->HNF
REQ,0x42,WriteEvictOrEvict,RNF->HNF
REQ,0x43,WriteUniqueZero,RNF|RND|RNI->HNF
REQ,0x44,WriteNoSnpZero,HNI->SNI
REQ,0x47,StashOnceSepShared,RNF|RND|RNI->HNF
REQ,0x48,StashOnceSepUnique,RNF|RND|RNI->HNF
REQ,0x4C,ReadPreferUnique,RNF->HNF
REQ,0x4D,CleanInvalidPoPA,HNI->SNI
REQ,0x4E,WriteNoSnpDef,RNF|RND|RNI->HNI;HNI->SNI
REQ,0x50,WriteNoSnpFullCleanSh,HNI->SNI
REQ,0x51,WriteNoSnpFullCleanInv,RNF|RND|RNI->HNF|HNI
REQ,0x52,WriteNoSnpFullCleanShPerSep,HNI->SNI
REQ,0x54,WriteUniqueFullCleanSh,RNF|RND|RNI->HNF
REQ,0x56,WriteUniqueFullCleanShPerSep,RNF|RND|RNI->HNF
REQ,0x58,WriteBackFullCleanSh,RNF->HNF
REQ,0x59,WriteBackFullCleanInv,RNF->HNF
REQ,0x5A,WriteBackFullCleanShPerSep,RNF->HNF
REQ,0x5C,WriteCleanFullCleanSh,RNF->HNF
REQ,0x5E,WriteCleanFullCleanShPerSep,RNF->HNF
REQ,0x60,WriteNoSnpPtlCleanSh,HNI->SNI;HNI->SNI
REQ,0x61,WriteNoSnpPtlCleanInv,HNI->SNI
REQ,0x62,WriteNoSnpPtlCleanShPerSep,HNI->SNI
REQ,0x64,WriteUniquePtlCleanSh,RNF|RND|RNI->HNF
REQ,0x66,WriteUniquePtlCleanShPerSep,RNF|RND|RNI->HNF
REQ,0x70,WriteNoSnpPtlCleanInvPoPA,HNI->SNI
REQ,0x71,WriteNoSnpFullCleanInvPoPA,HNF->SNF
REQ,0x79,WriteBackFullCleanInvPoPA,RNF->HNF
RSP,0x00,RespLCrdReturn,
RSP,0x01,SnpResp,RNF->HNF;RNF|RND->MN
RSP,0x02,CompAck,RNF|RND|RNI->HNF|HNI
RSP,0x03,RetryAck,HNF|HNI|MN->RNF|RND|RNI
RSP,0x04,Comp,SNI->HNI
RSP,0x05,CompDBIDResp,SNI->HNI
RSP,0x06,DBIDResp,HNF|HNI|MN->RNF|RND|RNI;SNF->HNF|RNF|RND|RNI;SNI->HNI|RNF|RND|RNI
RSP,0x07,PCrdGrant,SNF->HNF
RSP,0x08,ReadReceipt,SNF->HNF;SNI->HNI
RSP,0x09,SnpRespFwded,RNF->HNF
RSP,0x0A,TagMatch,HNF->RNF|RND|RNI;SNF->HNF|RNF|RND|RNI
RSP,0x0B,RespSepData,HNF|HNI->RNF|RND|RNI
RSP,0x0C,Persist,HNF|HNI->RNF|RND|RNI;SNF->HNF|RNF|RND|RNI;SNI->HNI|RNF|RND|RNI
RSP,0x0D,CompPersist,HNF|HNI->RNF|RND|RNI;SNF->HNF;SNI->HNI
RSP,0x0E,DBIDRespOrd,HNF|HNI->RNF|RND|RNI
RSP,0x10,StashDone,HNF->RNF|RND|RNI
RSP,0x11,CompStashDone,HNF->RNF|RND|RNI
RSP,0x14,CompCMO,HNF|HNI->RNF|RND|RNI
SNP,0x00,SnpLCrdReturn,
SNP,0x01,SnpShared,HNF->RNF
SNP,0x02,SnpClean,HNF->RNF
SNP,0x03,SnpOnce,HNF->RNF
SNP,0x04,SnpNotSharedDirty,HNF->RNF
SNP,0x05,SnpUniqueStash,HNF->RNF
SNP,0x06,SnpMakeInvalidStash,HNF->RNF
SNP,0x07,SnpUnique,HNF->RNF
SNP,0x08,SnpCleanShared,HNF->RNF
SNP,0x09,SnpCleanInvalid,HNF->RNF
SNP,0x0A,SnpMakeInvalid,HNF->RNF
SNP,0x0B,SnpStashUnique,HNF->RNF
SNP,0x0C,SnpStashShared,HNF->RNF
SNP,0x0D,SnpDVMOp,MN->RNF|RND
SNP,0x10,SnpQuery,HNF->RNF
SNP,0x11,SnpSharedFwd,HNF->RNF
SNP,0x12,SnpCleanFwd,HNF->RNF
SNP,0x13,SnpOnceFwd,HNF->RNF
SNP,0x14,SnpNotSharedDirtyFwd,HNF->RNF
SNP,0x15,SnpPreferUnique,HNF->RNF
SNP,0x16,SnpPreferUniqueFwd,HNF->RNF
SNP,0x17,SnpUniqueFwd,HNF->RNF
DAT,0x00,DataLCrdReturn,
DAT,0x01,SnpRespData,RNF->HNF
DAT,0x02,CopyBackWriteData,RNF->HNF
DAT,0x03,NonCopyBackWriteData,RNF|RND|RNI->HNF|HNI|SNF|SNI;RNF|RND->MN;HNF->SNF;HNI->SNI
DAT,0x04,CompData,P2P:RNF->RNF|RND|RNI;HNF|HNI->RNF|RND|RNI;SNF->RNF|RND|RNI|HNF;SNI->RNF|RND|RNI|HNI
DAT,0x05,SnpRespDataPtl,RNF->HNF
DAT,0x06,SnpRespDataFwded,RNF->HNF
DAT,0x07,WriteDataCancel,RNF|RND|RNI->HNF|HNI|SNF|SNI;HNF->SNF;HNI->SNI
DAT,0x0B,DataSepResp,HNF|HNI->RNF|RND|RNI;SNF|SNI->RNF|RND|RNI
DAT,0x0C,NCBWrDataCompAck,RNF|RND|RNI->HNF|HNI
